# see details in the README file of the repository
day_zero	day	experiment	replicate_system	variable	value
2020-10-26	24	F3_50	b	Bf_num	197420
2020-10-26	24	F5_50	a	Bf_num	193957
2020-10-26	24	F5_50	b	Bf_num	114296
2020-10-26	25	F3_50	a	Bf_num	204347
2020-10-26	25	F3_50	b	Bf_num	169712
2020-10-26	25	F5_50	a	Bf_num	148931
2020-10-26	25	F5_50	b	Bf_num	162785
2020-10-26	26	F3_50	a	Bf_num	353278
2020-10-26	26	F3_50	b	Bf_num	273617
2020-10-26	26	F5_50	a	Bf_num	294398
2020-10-26	26	F5_50	b	Bf_num	270154
2020-10-26	27	F3_50	a	Bf_num	270154
2020-10-26	27	F3_50	b	Bf_num	273617
2020-10-26	27	F5_50	a	Bf_num	221665
2020-10-26	27	F5_50	b	Bf_num	169712
2020-10-26	28	F3_50	a	Bf_num	263227
2020-10-26	28	F3_50	b	Bf_num	284008
2020-10-26	28	F5_50	a	Bf_num	183566
2020-10-26	28	F5_50	b	Bf_num	183566
2020-10-26	29	F3_50	a	Bf_num	471037
2020-10-26	29	F3_50	b	Bf_num	370595
2020-10-26	29	F5_50	a	Bf_num	308252
2020-10-26	29	F5_50	b	Bf_num	380986
2020-10-26	30	F3_50	a	Bf_num	443329
2020-10-26	30	F3_50	b	Bf_num	554161
2020-10-26	30	F5_50	a	Bf_num	477964
2020-10-26	30	F5_50	b	Bf_num	432938
2020-10-26	31	F3_50	a	Bf_num	554161
2020-10-26	31	F3_50	b	Bf_num	481428
2020-10-26	31	F5_50	a	Bf_num	408694
2020-10-26	31	F5_50	b	Bf_num	401767
2020-10-26	32	F3_50	a	Bf_num	578406
2020-10-26	32	F3_50	b	Bf_num	505672
2020-10-26	32	F5_50	a	Bf_num	498745
2020-10-26	32	F5_50	b	Bf_num	467574
2020-10-26	33	F3_50	a	Bf_num	453719
2020-10-26	33	F3_50	b	Bf_num	443329
2020-10-26	33	F5_50	a	Bf_num	491818
2020-10-26	33	F5_50	b	Bf_num	502209
2020-10-26	34	F3_50	a	Bf_num	446792
2020-10-26	34	F3_50	b	Bf_num	422548
2020-10-26	34	F5_50	a	Bf_num	516063
2020-10-26	34	F5_50	b	Bf_num	540307
2020-10-26	35	F3_50	a	Bf_num	574942
2020-10-26	35	F3_50	b	Bf_num	460646
2020-10-26	35	F5_50	a	Bf_num	536844
2020-10-26	35	F5_50	b	Bf_num	557625
2020-10-26	36	F3_50	a	Bf_num	457183
2020-10-26	36	F3_50	b	Bf_num	443329
2020-10-26	36	F5_50	a	Bf_num	394840
2020-10-26	36	F5_50	b	Bf_num	356741
2020-10-26	37	F3_50	a	Bf_num	415621
2020-10-26	37	F3_50	b	Bf_num	429475
2020-10-26	37	F5_50	a	Bf_num	432938
2020-10-26	37	F5_50	b	Bf_num	502209
2020-10-26	22	F3_50	a	Bf_len	1782111
2020-10-26	22	F3_50	b	Bf_len	756776
2020-10-26	22	F5_50	a	Bf_len	2209785
2020-10-26	22	F5_50	b	Bf_len	2110971
2020-10-26	23	F3_50	a	Bf_len	2465807
2020-10-26	23	F3_50	b	Bf_len	915673
2020-10-26	23	F5_50	a	Bf_len	1432090
2020-10-26	23	F5_50	b	Bf_len	887107
2020-10-26	24	F3_50	a	Bf_len	3003031
2020-10-26	24	F3_50	b	Bf_len	1805292
2020-10-26	24	F5_50	a	Bf_len	1603672
2020-10-26	24	F5_50	b	Bf_len	766092
2020-10-26	25	F3_50	a	Bf_len	1315231
2020-10-26	25	F3_50	b	Bf_len	1549260
2020-10-26	25	F5_50	a	Bf_len	1118539
2020-10-26	25	F5_50	b	Bf_len	1217280
2020-10-26	26	F3_50	a	Bf_len	6210409
2020-10-26	26	F3_50	b	Bf_len	4452563
2020-10-26	26	F5_50	a	Bf_len	3305256
2020-10-26	26	F5_50	b	Bf_len	3863781
2020-10-26	27	F3_50	a	Bf_len	3281150
2020-10-26	27	F3_50	b	Bf_len	5038220
2020-10-26	27	F5_50	a	Bf_len	2928739
2020-10-26	27	F5_50	b	Bf_len	2461000
2020-10-26	28	F3_50	a	Bf_len	7882380
2020-10-26	28	F3_50	b	Bf_len	8385662
2020-10-26	28	F5_50	a	Bf_len	3277964
2020-10-26	28	F5_50	b	Bf_len	3138454
2020-10-26	29	F3_50	a	Bf_len	12049807
2020-10-26	29	F3_50	b	Bf_len	8563998
2020-10-26	29	F5_50	a	Bf_len	6674449
2020-10-26	29	F5_50	b	Bf_len	8636073
2020-10-26	30	F3_50	a	Bf_len	8572414
2020-10-26	30	F3_50	b	Bf_len	10791793
2020-10-26	30	F5_50	a	Bf_len	10079004
2020-10-26	30	F5_50	b	Bf_len	9417613
2020-10-26	31	F3_50	a	Bf_len	12811812
2020-10-26	31	F3_50	b	Bf_len	12399932
2020-10-26	31	F5_50	a	Bf_len	9933259
2020-10-26	31	F5_50	b	Bf_len	11435658
2020-10-26	32	F3_50	a	Bf_len	14899785
2020-10-26	32	F3_50	b	Bf_len	13151132
2020-10-26	32	F5_50	a	Bf_len	12358543
2020-10-26	32	F5_50	b	Bf_len	13601248
2020-10-26	33	F3_50	a	Bf_len	10162128
2020-10-26	33	F3_50	b	Bf_len	10672544
2020-10-26	33	F5_50	a	Bf_len	11005387
2020-10-26	33	F5_50	b	Bf_len	11911163
2020-10-26	34	F3_50	a	Bf_len	9304426
2020-10-26	34	F3_50	b	Bf_len	8916929
2020-10-26	34	F5_50	a	Bf_len	10412678
2020-10-26	34	F5_50	b	Bf_len	14853894
2020-10-26	35	F3_50	a	Bf_len	13876770
2020-10-26	35	F3_50	b	Bf_len	9285931
2020-10-26	35	F5_50	a	Bf_len	12264440
2020-10-26	35	F5_50	b	Bf_len	14701811
2020-10-26	36	F3_50	a	Bf_len	10373886
2020-10-26	36	F3_50	b	Bf_len	9532913
2020-10-26	36	F5_50	a	Bf_len	9255209
2020-10-26	36	F5_50	b	Bf_len	8121847
2020-10-26	37	F3_50	a	Bf_len	11337329
2020-10-26	37	F3_50	b	Bf_len	9223830
2020-10-26	37	F5_50	a	Bf_len	11668994
2020-10-26	37	F5_50	b	Bf_len	13137174
